"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1084","test_hotel_list","test","Mon Apr 14 17:13:34 GMT 2025","passed","Mon Apr 14 17:13:35 GMT 2025","TestHootel","test_hootel","",""
"A belépés tesztelése","1354","Hootel Login","test","Mon Apr 14 17:13:31 GMT 2025","passed","Mon Apr 14 17:13:32 GMT 2025","TestHootel","test_hootel","",""
