"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"A belépés tesztelése","1638","Hootel Login","test","Mon Apr 14 17:21:58 GMT 2025","passed","Mon Apr 14 17:22:00 GMT 2025","TestHootel","test_hootel","",""
"","1087","test_hotel_list","test","Mon Apr 14 17:22:01 GMT 2025","passed","Mon Apr 14 17:22:02 GMT 2025","TestHootel","test_hootel","",""
